Season,Date,Home Team,Away Team,Score
2014-2015,15:00,Real Sociedad,Rayo Vallecano,"0            

                1"
2014-2015,17:00,Valencia,Almeria,"3            

                2"
2014-2015,19:00,Villarreal,Athletic Bilbao,"2            

                0"
2014-2015,21:00,Espanyol,Celta Vigo,"1            

                0"
2015-2016,11:00,Malaga,Las Palmas,"4            

                1"
2015-2016,18:00,Espanyol,Eibar,"4            

                2"
2015-2016,18:30,Rayo Vallecano,Levante,"3            

                1"
2015-2016,18:30,Real Betis,Getafe,"2            

                1"
2015-2016,18:30,Sporting Gijon,Villarreal,"2            

                0"
2015-2016,16:00,Deportivo La Coruna,Real Madrid,"0            

                2"
2015-2016,16:00,Granada,Barcelona,"0            

                3"
2015-2016,18:30,Athletic Bilbao,Sevilla,"3            

                1"
2015-2016,18:30,Atletico Madrid,Celta Vigo,"2            

                0"
2015-2016,19:30,Valencia,Real Sociedad,"0            

                1"
2015-2016,16:00,Barcelona,Espanyol,"5            

                0"
2015-2016,16:00,Celta Vigo,Malaga,"1            

                0"
2015-2016,16:00,Eibar,Real Betis,"1            

                1"
2015-2016,16:00,Getafe,Sporting Gijon,"1            

                1"
2015-2016,16:00,Las Palmas,Athletic Bilbao,"0            

                0"
2015-2016,16:00,Levante,Atletico Madrid,"2            

                1"
2015-2016,16:00,Real Madrid,Valencia,"3            

                2"
2015-2016,16:00,Real Sociedad,Rayo Vallecano,"2            

                1"
2015-2016,16:00,Sevilla,Granada,"1            

                4"
2015-2016,16:00,Villarreal,Deportivo La Coruna,"0            

                2"
2015-2016,19:30,Malaga,Levante,"3            

                1"
2015-2016,11:00,Athletic Bilbao,Celta Vigo,"2            

                1"
2015-2016,15:00,Espanyol,Sevilla,"1            

                0"
2015-2016,17:15,Deportivo La Coruna,Getafe,"0            

                2"
2015-2016,19:30,Valencia,Villarreal,"0            

                2"
2015-2016,15:00,Real Sociedad,Real Madrid,"0            

                1"
2015-2016,17:15,Atletico Madrid,Rayo Vallecano,"1            

                0"
2015-2016,19:30,Real Betis,Barcelona,"0            

                2"
2015-2016,21:05,Granada,Las Palmas,"3            

                2"
2015-2016,19:30,Sporting Gijon,Eibar,"2            

                0"
2015-2016,19:30,Celta Vigo,Granada,"2            

                1"
2015-2016,11:00,Levante,Athletic Bilbao,"2            

                2"
2015-2016,15:00,Sevilla,Real Betis,"2            

                0"
2015-2016,17:15,Getafe,Valencia,"2            

                2"
2015-2016,19:30,Villarreal,Real Sociedad,"0            

                0"
2015-2016,15:00,Rayo Vallecano,Real Madrid,"2            

                3"
2015-2016,17:15,Atletico Madrid,Malaga,"1            

                0"
2015-2016,19:30,Barcelona,Sporting Gijon,"6            

                0"
2015-2016,21:05,Eibar,Deportivo La Coruna,"1            

                1"
2015-2016,20:00,Las Palmas,Espanyol,"4            

                0"
2015-2016,19:30,Real Sociedad,Getafe,"1            

                2"
2015-2016,20:00,Granada,Levante,"5            

                1"
2015-2016,19:00,Deportivo La Coruna,Barcelona,"0            

                8"
2015-2016,19:45,Athletic Bilbao,Atletico Madrid,"0            

                1"
2015-2016,19:45,Malaga,Rayo Vallecano,"1            

                1"
2015-2016,19:45,Sporting Gijon,Sevilla,"2            

                1"
2015-2016,19:45,Valencia,Eibar,"4            

                0"
2015-2016,21:00,Real Madrid,Villarreal,"3            

                0"
2015-2016,19:00,Espanyol,Celta Vigo,"1            

                1"
2015-2016,20:00,Real Betis,Las Palmas,"1            

                0"
2015-2016,11:00,Malaga,Athletic Bilbao,"0            

                1"
2015-2016,15:00,Sevilla,Deportivo La Coruna,"1            

                1"
2015-2016,17:15,Atletico Madrid,Granada,"3            

                0"
2015-2016,17:15,Rayo Vallecano,Villarreal,"2            

                1"
2015-2016,19:30,Barcelona,Valencia,"1            

                2"
2015-2016,15:00,Getafe,Real Madrid,"1            

                5"
2015-2016,17:15,Las Palmas,Sporting Gijon,"1            

                1"
2015-2016,19:30,Eibar,Real Sociedad,"2            

                1"
2015-2016,21:05,Celta Vigo,Real Betis,"1            

                1"
2015-2016,19:30,Levante,Espanyol,"2            

                1"
2015-2016,19:30,Deportivo La Coruna,Las Palmas,"1            

                3"
2015-2016,11:00,Sporting Gijon,Celta Vigo,"0            

                1"
2015-2016,15:00,Valencia,Sevilla,"2            

                1"
2015-2016,17:15,Villarreal,Getafe,"2            

                0"
2015-2016,19:30,Athletic Bilbao,Rayo Vallecano,"1            

                0"
2015-2016,15:00,Real Madrid,Eibar,"4            

                0"
2015-2016,17:15,Espanyol,Atletico Madrid,"1            

                3"
2015-2016,19:30,Real Sociedad,Barcelona,"1            

                0"
2015-2016,21:05,Real Betis,Levante,"1            

                0"
2015-2016,19:30,Granada,Malaga,"0            

                0"
2015-2016,19:30,Levante,Sporting Gijon,"0            

                0"
2015-2016,11:00,Athletic Bilbao,Granada,"1            

                1"
2015-2016,15:00,Malaga,Espanyol,"1            

                1"
2015-2016,17:15,Eibar,Villarreal,"1            

                2"
2015-2016,19:30,Sevilla,Real Sociedad,"1            

                2"
2015-2016,15:00,Atletico Madrid,Real Betis,"5            

                1"
2015-2016,17:15,Las Palmas,Valencia,"2            

                1"
2015-2016,19:30,Barcelona,Real Madrid,"1            

                2"
2015-2016,21:05,Celta Vigo,Deportivo La Coruna,"1            

                1"
2015-2016,19:30,Rayo Vallecano,Getafe,"2            

                0"
2015-2016,11:00,Espanyol,Athletic Bilbao,"2            

                1"
2015-2016,15:00,Villarreal,Barcelona,"2            

                2"
2015-2016,17:15,Valencia,Celta Vigo,"0            

                2"
2015-2016,19:30,Real Madrid,Sevilla,"4            

                0"
2015-2016,15:00,Sporting Gijon,Atletico Madrid,"2            

                1"
2015-2016,17:15,Granada,Rayo Vallecano,"2            

                2"
2015-2016,17:15,Real Sociedad,Las Palmas,"0            

                1"
2015-2016,19:30,Deportivo La Coruna,Levante,"2            

                1"
2015-2016,21:05,Real Betis,Malaga,"0            

                1"
2015-2016,19:30,Getafe,Eibar,"1            

                1"
2015-2016,19:30,Granada,Espanyol,"1            

                1"
2015-2016,11:00,Levante,Valencia,"1            

                0"
2015-2016,15:00,Sevilla,Villarreal,"4            

                2"
2015-2016,17:15,Athletic Bilbao,Real Betis,"3            

                1"
2015-2016,19:30,Las Palmas,Real Madrid,"1            

                2"
2015-2016,15:00,Barcelona,Getafe,"6            

                0"
2015-2016,17:15,Celta Vigo,Real Sociedad,"1            

                0"
2015-2016,19:30,Atletico Madrid,Deportivo La Coruna,"3            

                0"
2015-2016,21:05,Rayo Vallecano,Eibar,"1            

                1"
2015-2016,19:30,Malaga,Sporting Gijon,"1            

                0"
2015-2016,19:30,Espanyol,Rayo Vallecano,"2            

                1"
2015-2016,11:00,Real Betis,Granada,"2            

                0"
2015-2016,15:00,Eibar,Barcelona,"0            

                4"
2015-2016,17:15,Real Sociedad,Levante,"1            

                1"
2015-2016,17:15,Sporting Gijon,Athletic Bilbao,"0            

                2"
2015-2016,19:30,Valencia,Atletico Madrid,"1            

                3"
2015-2016,15:00,Real Madrid,Celta Vigo,"7            

                1"
